Station,code,construction,fermeture,latitude,ligne,ligne 1,mise en service 1,ligne 2,mise en service 2,ligne 3,mise en service 3,ligne 4,mise en service 4,ligne 5,mise en service 5,longitude,url,nom inaugural,station précédente 1,station suivante 1,station précédente 2,station suivante 2,station précédente 3,station suivante 3,station précédente 4,station suivante 4,station précédente 5,station suivante 5
Malakoff - Rue Étienne-Dolet,27-08,,,48.81470258,13,13,9 novembre 1976,,,,,,,,,2.297301292,https://fr.wikipedia.org/w/index.php?title=Malakoff_-_Rue_%C3%89tienne-Dolet_(m%C3%A9tro_de_Paris)&action=raw,,Malakoff - Plateau de Vanves (métro de Paris)|Malakoff - Plateau de Vanves,Châtillon - Montrouge (métro de Paris)|Châtillon - Montrouge,,,,,,,,
Malesherbes,601,,,48.882476,3,3,23 mai 1910,,,,,,,,,2.311002,https://fr.wikipedia.org/w/index.php?title=Malesherbes_(m%C3%A9tro_de_Paris)&action=raw,,Wagram (métro de Paris)|Wagram,Villiers (métro de Paris)|Villiers,,,,,,,,
Maraîchers,05-04,,,48.85285088,9,9,10 décembre 1933,,,,,,,,,2.40699023,https://fr.wikipedia.org/w/index.php?title=Mara%C3%AEchers_(m%C3%A9tro_de_Paris)&action=raw,,Buzenval (métro de Paris)|Buzenval,Porte de Montreuil (métro de Paris)|Porte de Montreuil,,,,,,,,
Marcadet - Poissonniers,20-09,,,48.89036876,"4, 12",4,21 avril 1908,12,23 août 1916,,,,,,,2.350028157,https://fr.wikipedia.org/w/index.php?title=Marcadet_-_Poissonniers_(m%C3%A9tro_de_Paris)&action=raw,,Simplon (métro de Paris)|Simplon,Château Rouge (métro de Paris)|Château Rouge,Marx Dormoy (métro de Paris)|Marx Dormoy,Jules Joffrin (métro de Paris)|Jules Joffrin,,,,,,
Marcel Sembat,28-08,,,48.83367001,9,9,3 février 1934,,,,,,,,,2.243579328,https://fr.wikipedia.org/w/index.php?title=Marcel_Sembat_(m%C3%A9tro_de_Paris)&action=raw,,Billancourt (métro de Paris)|Billancourt,Porte de Saint-Cloud (métro de Paris)|Porte de Saint-Cloud,,,,,,,,
Marx Dormoy,2007,,,48.890483,12,12,23 août 1916,,,,,,,,,2.359968,https://fr.wikipedia.org/w/index.php?title=Marx_Dormoy_(m%C3%A9tro_de_Paris)&action=raw,Torcy,Porte de la Chapelle (métro de Paris)|Porte de la Chapelle,Marcadet - Poissonniers (métro de Paris)|Marcadet - Poissonniers,,,,,,,,
Maubert - Mutualité,106,,,48.8501929,10,10,15 février 1930,,,,,,,,,2.347936034,https://fr.wikipedia.org/w/index.php?title=Maubert_-_Mutualit%C3%A9_(m%C3%A9tro_de_Paris)&action=raw,,Cluny - La Sorbonne (métro de Paris)|Cluny - La Sorbonne,Cardinal Lemoine (métro de Paris)|Cardinal Lemoine,,,,,,,,
Ménilmontant,24-05,,,48.866248,2,2,31 janvier 1903,,,,,,,,,2.383618,https://fr.wikipedia.org/w/index.php?title=M%C3%A9nilmontant_(m%C3%A9tro_de_Paris)&action=raw,,Couronnes (métro de Paris)|Couronnes,Père Lachaise (métro de Paris)|Père Lachaise,,,,,,,,
Michel Bizot,13-10,,,48.83748523,8,8,5 mai 1931,,,,,,,,,2.40123421,https://fr.wikipedia.org/w/index.php?title=Michel_Bizot_(m%C3%A9tro_de_Paris)&action=raw,,Daumesnil (métro de Paris)|Daumesnil,Porte Dorée (métro de Paris)|Porte Dorée,,,,,,,,
Michel-Ange - Auteuil,07-09,,,48.84777129,"9, 10, 8",9,8 novembre 1922,10,27 jullet 1937,8,30 septembre 1913,,,,,2.263870239,https://fr.wikipedia.org/w/index.php?title=Michel-Ange_-_Auteuil_(m%C3%A9tro_de_Paris)&action=raw,,Michel-Ange - Molitor (métro de Paris)|Michel-Ange - Molitor,Jasmin (métro de Paris)|Jasmin,Porte d'Auteuil (métro de Paris)|Porte d'Auteuil,Église d'Auteuil (métro de Paris)|Église d'Auteuil,,,,,,
Michel-Ange - Molitor,710,,,48.84496,"9, 10, 8",9,8 novembre 1922,10,27 jullet 1937,8,30 septembre 1913,,,,,2.261194,https://fr.wikipedia.org/w/index.php?title=Michel-Ange_-_Molitor_(m%C3%A9tro_de_Paris)&action=raw,,Exelmans (métro de Paris)|Exelmans,Michel-Ange - Auteuil (métro de Paris)|Michel-Ange - Auteuil,Boulogne - Jean Jaurès (métro de Paris)|Boulogne - Jean Jaurès,Chardon-Lagache (métro de Paris)|Chardon-Lagache,,,,,,
Mirabeau,712,,,48.84673872,10,10,30 septembre 1913,,,,,,,,,2.271707654,https://fr.wikipedia.org/w/index.php?title=Mirabeau_(m%C3%A9tro_de_Paris)&action=raw,,Chardon-Lagache (métro de Paris)|Chardon-Lagache,Javel - André Citroën (métro de Paris)|Javel - André Citroën,,,,,,,,
Miromesnil,18-04,,,48.87366684,"9, 13",9,27 mai 1923,13,27 avril 1973,,,,,,,2.314464748,https://fr.wikipedia.org/w/index.php?title=Miromesnil_(m%C3%A9tro_de_Paris)&action=raw,,Saint-Philippe du Roule (métro de Paris)|Saint-Philippe du Roule,Saint-Augustin (métro de Paris)|Saint-Augustin,Saint-Lazare (métro de Paris)|Saint-Lazare,Champs-Élysées - Clemenceau (métro de Paris)|Champs-Élysées - Clemenceau,,,,,,
Monceau,602,,,48.880319,2,2,7 octobre 1902,,,,,,,,,2.308603,https://fr.wikipedia.org/w/index.php?title=Monceau_(m%C3%A9tro_de_Paris)&action=raw,,Courcelles (métro de Paris)|Courcelles,Villiers (métro de Paris)|Villiers,,,,,,,,
Montgallet,12-03,,,48.84427635,8,8,5 mai 1931,,,,,,,,,2.389974296,https://fr.wikipedia.org/w/index.php?title=Montgallet_(m%C3%A9tro_de_Paris)&action=raw,,Reuilly - Diderot (métro de Paris)|Reuilly - Diderot,Daumesnil (métro de Paris)|Daumesnil,,,,,,,,
Montparnasse - Bienvenüe,408,,,48.843466,"4, 6, 12, 13, 2S",4,6 avril 1910,6,6 octobre 1942,12,5 novembre 1910,13,21 janvier 1937,2S,24 avril 1906,2.323072,https://fr.wikipedia.org/w/index.php?title=Montparnasse_-_Bienven%C3%BCe_(m%C3%A9tro_de_Paris)&action=raw,,Saint-Placide (métro de Paris)|Saint-Placide,Vavin (métro de Paris)|Vavin,Pasteur (métro de Paris)|Pasteur,Edgar Quinet (métro de Paris)|Edgar Quinet,Notre-Dame-des-Champs (métro de Paris)|Notre-Dame-des-Champs,Falguière (métro de Paris)|Falguière,Duroc (métro de Paris)|Duroc,Gaîté (métro de Paris)|Gaîté,,
Mouton-Duvernet,1504,,,48.8314,4,4,30 octobre 1909,,,,,,,,,2.3299,https://fr.wikipedia.org/w/index.php?title=Mouton-Duvernet_(m%C3%A9tro_de_Paris)&action=raw,,Denfert-Rochereau (métro de Paris)|Denfert-Rochereau,Alésia (métro de Paris)|Alésia,,,,,,,,
Nation,510,,,48.84846575,"1, 2, 6, 9",1,19 juillet 1900,2,2 avril 1903,6,1 mars 1909,9,10 décembre 1933,,,2.395905745,https://fr.wikipedia.org/w/index.php?title=Nation_(m%C3%A9tro_de_Paris)&action=raw,,Reuilly - Diderot (métro de Paris)|Reuilly - Diderot,Porte de Vincennes (métro de Paris)|Porte de Vincennes,Avron (métro de Paris)|Avron,''Terminus''',Picpus (métro de Paris)|Picpus,''Terminus''',Rue des Boulets (métro de Paris)|Rue des Boulets,Buzenval (métro de Paris)|Buzenval,,
Nationale,1411,,,48.83318272,6,6,1 mars 1909,,,,,,,,,2.362717688,https://fr.wikipedia.org/w/index.php?title=Nationale_(m%C3%A9tro_de_Paris)&action=raw,,Place d'Italie (métro de Paris)|Place d'Italie,Chevaleret (métro de Paris)|Chevaleret,,,,,,,,
Notre-Dame-de-Lorette,31-09,,,48.876084,12,12,5 novembre 1910,,,,,,,,,2.338586,https://fr.wikipedia.org/w/index.php?title=Notre-Dame-de-Lorette_(m%C3%A9tro_de_Paris)&action=raw,,Saint-Georges (métro de Paris)|Saint-Georges,Trinité - d'Estienne d'Orves (métro de Paris)|Trinité - d'Estienne d'Orves,,,,,,,,
Notre-Dame-des-Champs,414,,,48.84456761,12,12,5 novembre 1910,,,,,,,,,2.328787744,https://fr.wikipedia.org/w/index.php?title=Notre-Dame-des-Champs_(m%C3%A9tro_de_Paris)&action=raw,,Rennes (métro de Paris)|Rennes,Montparnasse - Bienvenüe (métro de Paris)|Montparnasse - Bienvenüe,,,,,,,,
Oberkampf,810,,,48.864545,"5, 9",5,15 janvier 1907,9,10 décembre 1933,,,,,,,2.368877,https://fr.wikipedia.org/w/index.php?title=Oberkampf_(m%C3%A9tro_de_Paris)&action=raw,,République (métro de Paris)|République,Richard-Lenoir (métro de Paris)|Richard-Lenoir,République (métro de Paris)|République,Saint-Ambroise (métro de Paris)|Saint-Ambroise,,,,,,
Odéon,104,,,48.852066,"4, 10",4,9 janvier 1910,10,14 février 1926,,,,,,,2.338951,https://fr.wikipedia.org/w/index.php?title=Od%C3%A9on_(m%C3%A9tro_de_Paris)&action=raw,,Saint-Michel (métro de Paris)|Saint-Michel,Saint-Germain-des-Prés (métro de Paris)|Saint-Germain-des-Prés,Mabillon (métro de Paris)|Mabillon,Cluny - La Sorbonne (métro de Paris)|Cluny - La Sorbonne,,,,,,
Olympiades,OLY<br />GA90 / 90OLY,,,48.82702,14,14,26 juin 2007,,,,,,,,,2.366403,https://fr.wikipedia.org/w/index.php?title=Olympiades_(m%C3%A9tro_de_Paris)&action=raw,,Bibliothèque François-Mitterrand (métro de Paris)|Bibliothèque François-Mitterrand,''Terminus''',,,,,,,,
Opéra,605,,,48.87063595,"3, 7, 8",3,19 octobre 1904,7,5 novembre 1910,8,13 juillet 1913,,,,,2.3323524,https://fr.wikipedia.org/w/index.php?title=Op%C3%A9ra_(m%C3%A9tro_de_Paris)&action=raw,,Havre - Caumartin (métro de Paris)|Havre - Caumartin,Quatre-Septembre (métro de Paris)|Quatre-Septembre,Chaussée d'Antin - La Fayette (métro de Paris)|Chaussée d'Antin - La Fayette,Pyramides (métro de Paris)|Pyramides,Madeleine (métro de Paris)|Madeleine,Richelieu - Drouot (métro de Paris)|Richelieu - Drouot,,,,
Ourcq,22-02,,,48.88685563,5,5,12 octobre 1942,,,,,,,,,2.385747135,https://fr.wikipedia.org/w/index.php?title=Ourcq_(m%C3%A9tro_de_Paris)&action=raw,,Porte de Pantin (métro de Paris)|Porte de Pantin,Laumière (métro de Paris)|Laumière,,,,,,,,
Palais-Royal - Musée du Louvre,1102,,,48.86284682,"1, 7",1,19 juillet 1900,7,1 juillet 1916,,,,,,,2.335816612,https://fr.wikipedia.org/w/index.php?title=Palais-Royal_-_Mus%C3%A9e_du_Louvre_(m%C3%A9tro_de_Paris)&action=raw,Palais-Royal,Tuileries (métro de Paris)|Tuileries,Louvre - Rivoli (métro de Paris)|Louvre - Rivoli,Pyramides (métro de Paris)|Pyramides,Pont-Neuf (métro de Paris)|Pont-Neuf,,,,,,
Parmentier,08-11,,,48.865299,3,3,19 octobre 1904,,,,,,,,,2.374381,https://fr.wikipedia.org/w/index.php?title=Parmentier_(m%C3%A9tro_de_Paris)&action=raw,,République (métro de Paris)|République,Rue Saint-Maur (métro de Paris)|Rue Saint-Maur,,,,,,,,
Passy,17-08,,,48.857445,6,6,24 avril 1906,,,,,,,,,2.285779,https://fr.wikipedia.org/w/index.php?title=Passy_(m%C3%A9tro_de_Paris)&action=raw,,Trocadéro (métro de Paris)|Trocadéro,Bir-Hakeim (métro de Paris)|Bir-Hakeim,,,,,,,,
Pasteur,1602,,,48.84283594,"6, 12",6,6 octobre 1942,12,5 novembre 1910,5,,2S,24 avril 1906,,,2.312681079,https://fr.wikipedia.org/w/index.php?title=Pasteur_(m%C3%A9tro_de_Paris)&action=raw,,Sèvres - Lecourbe (métro de Paris)|Sèvres - Lecourbe,Montparnasse - Bienvenüe (métro de Paris)|Montparnasse - Bienvenüe,Falguière (métro de Paris)|Falguière,Volontaires (métro de Paris)|Volontaires,,,,,,
Pelleport,24-09,,,48.86867053,"3, 3bis",3 bis,27 novembre 1921,3,27 mars 1971,,,,,,,2.401751876,https://fr.wikipedia.org/w/index.php?title=Pelleport_(m%C3%A9tro_de_Paris)&action=raw,,Saint-Fargeau (métro de Paris)|Saint-Fargeau,Gambetta (métro de Paris)|Gambetta,,,,,,,,
Père Lachaise,2404,,,48.862921,"2, 3",2,25 février 1903,3,19 octobre 1904,,,,,,,2.387388,https://fr.wikipedia.org/w/index.php?title=P%C3%A8re_Lachaise_(m%C3%A9tro_de_Paris)&action=raw,,Ménilmontant (métro de Paris)|Ménilmontant,Philippe Auguste (métro de Paris)|Philippe Auguste,Rue Saint-Maur (métro de Paris)|Rue Saint-Maur,Gambetta (métro de Paris)|Gambetta,,,,,,
Pereire,3005,,,48.884648,3,3,23 mai 1910,,,,,,,,,2.299211,https://fr.wikipedia.org/w/index.php?title=Pereire_(m%C3%A9tro_de_Paris)&action=raw,,Porte de Champerret (métro de Paris)|Porte de Champerret,Wagram (métro de Paris)|Wagram,,,,,,,,
Pernety,402,,,48.83421027,13,13,21 janvier 1937,,,,,,,,,2.318512201,https://fr.wikipedia.org/w/index.php?title=Pernety_(m%C3%A9tro_de_Paris)&action=raw,,Gaîté (métro de Paris)|Gaîté,Plaisance (métro de Paris)|Plaisance,,,,,,,,
Philippe Auguste,24-07,,,48.858021,2,2,31 janvier 1903,,,,,,,,,2.390938,https://fr.wikipedia.org/w/index.php?title=Philippe_Auguste_(m%C3%A9tro_de_Paris)&action=raw,,Père Lachaise (métro de Paris)|Père Lachaise,Alexandre Dumas (métro de Paris)|Alexandre Dumas,,,,,,,,
Picpus,509,,,48.84515011,6,6,1 mars 1909,,,,,,,,,2.40049392,https://fr.wikipedia.org/w/index.php?title=Picpus_(m%C3%A9tro_de_Paris)&action=raw,Saint-Mandé,Bel-Air (métro de Paris)|Bel-Air,Nation (métro de Paris)|Nation,,,,,,,,
Pierre et Marie Curie,26-04,,,48.81591773,7,7,1 mai 1946,,,,,,,,,2.377893627,https://fr.wikipedia.org/w/index.php?title=Pierre_et_Marie_Curie_(m%C3%A9tro_de_Paris)&action=raw,Pierre Curie,Porte d'Ivry (métro de Paris)|Porte d'Ivry,Mairie d'Ivry (métro de Paris)|Mairie d'Ivry,,,,,,,,
Pigalle,3106,,,48.882255,"2, 12",2,7 octobre 1902,12,8 avril 1911,,,,,,,2.337573,https://fr.wikipedia.org/w/index.php?title=Pigalle_(m%C3%A9tro_de_Paris)&action=raw,,Blanche (métro de Paris)|Blanche,Anvers (métro de Paris)|Anvers,Abbesses (métro de Paris)|Abbesses,Saint-Georges (métro de Paris)|Saint-Georges,,,,,,
Place d'Italie,14-14,,,48.831483,"5, 6, 7, 2S, 10",5,17 octobre 1907,6,1 mars 1909,7,26 avril 1931,2S,24 avril 1906,10,15 février 1930,2.355692,https://fr.wikipedia.org/w/index.php?title=Place_d%27Italie_(m%C3%A9tro_de_Paris)&action=raw,,Campo-Formio (métro de Paris)|Campo-Formio,''Terminus''',Corvisart (métro de Paris)|Corvisart,Nationale (métro de Paris)|Nationale,Les Gobelins (métro de Paris)|Les Gobelins,Tolbiac (métro de Paris)|Tolbiac,,,,
Place de Clichy,3113,,,48.883809,"2, 13",2,26 octobre 1902,13,26 février 1911,,,,,,,2.327625,https://fr.wikipedia.org/w/index.php?title=Place_de_Clichy_(m%C3%A9tro_de_Paris)&action=raw,,Rome (métro de Paris)|Rome,Blanche (métro de Paris)|Blanche,La Fourche (métro de Paris)|La Fourche,Liège (métro de Paris)|Liège,,,,,,
Place des Fêtes,23-08,,,48.87684044,"7bis, 11, 7",7 bis,3 décembre 1967,11,28 avril 1935,7,18 janvier 1911,,,,,2.392959595,https://fr.wikipedia.org/w/index.php?title=Place_des_F%C3%AAtes_(m%C3%A9tro_de_Paris)&action=raw,,Botzaris (métro de Paris)|Botzaris,Pré-Saint-Gervais (métro de Paris)|Pré-Saint-Gervais,Jourdain (métro de Paris)|Jourdain,Télégraphe (métro de Paris)|Télégraphe,,,,,,
Pré-Saint-Gervais,23-11,,,48.8802502,7bis,"7bis, 7",3 décembre 1967,7,18 janvier 1911,,,,,,,2.398914099,https://fr.wikipedia.org/w/index.php?title=Pr%C3%A9-Saint-Gervais_(m%C3%A9tro_de_Paris)&action=raw,,Place des Fêtes (métro de Paris)|Place des Fêtes,Danube (métro de Paris)|Danube,,,,,,,,
Place Monge,1205,,,48.84359,7,7,15 février 1930,,,,,,,,,2.352279,https://fr.wikipedia.org/w/index.php?title=Place_Monge_(m%C3%A9tro_de_Paris)&action=raw,,Jussieu (métro de Paris)|Jussieu,Censier - Daubenton (métro de Paris)|Censier - Daubenton,,,,,,,,
Plaisance,403,,,48.83155306,13,13,21 janvier 1937,,,,,,,,,2.313740551,https://fr.wikipedia.org/w/index.php?title=Plaisance_(m%C3%A9tro_de_Paris)&action=raw,,Pernety (métro de Paris)|Pernety,Porte de Vanves (métro de Paris)|Porte de Vanves,,,,,,,,
Pointe du Lac,PTL,,,48.76878622,8,8,8 octobre 2011,,,,,,,,,2.46481061,https://fr.wikipedia.org/w/index.php?title=Pointe_du_Lac_(m%C3%A9tro_de_Paris)&action=raw,,Créteil - Préfecture (métro de Paris)|Créteil - Préfecture,''Terminus''',,,,,,,,
Poissonnière,2110,,,48.87707506,7,7,5 novembre 1910,,,,,,,,,2.348445654,https://fr.wikipedia.org/w/index.php?title=Poissonni%C3%A8re_(m%C3%A9tro_de_Paris)&action=raw,,Gare de l'Est (métro de Paris)|Gare de l'Est,Cadet (métro de Paris)|Cadet,,,,,,,,
Pont de Levallois - Bécon,2915,,,48.897313,3,3,24 septembre 1937,,,,,,,,,2.280787,https://fr.wikipedia.org/w/index.php?title=Pont_de_Levallois_-_B%C3%A9con_(m%C3%A9tro_de_Paris)&action=raw,,''Terminus''',Anatole France (métro de Paris)|Anatole France,,,,,,,,
Pont de Sèvres,28-10,,,48.82974679,9,9,3 février 1934,15,,,,,,,,2.231034636,https://fr.wikipedia.org/w/index.php?title=Pont_de_S%C3%A8vres_(m%C3%A9tro_de_Paris)&action=raw,,''Terminus''',Billancourt (métro de Paris)|Billancourt,Gare de Saint-Cloud|Saint-Cloud,Issy RER (métro de Paris)|Issy RER,,,,,,
Pont Marie,12-09,,,48.8532868,7,7,16 avril 1926,,,,,,,,,2.357616127,https://fr.wikipedia.org/w/index.php?title=Pont_Marie_(m%C3%A9tro_de_Paris)&action=raw,,Châtelet (métro de Paris)|Châtelet,Sully - Morland (métro de Paris)|Sully - Morland,,,,,,,,
Porte Dauphine,1702,,,48.871545,2,2,13 décembre 1900,,,,,,,,,2.276768,https://fr.wikipedia.org/w/index.php?title=Porte_Dauphine_(m%C3%A9tro_de_Paris)&action=raw,,''Terminus''',Victor Hugo (métro de Paris)|Victor Hugo,,,,,,,,
Porte d'Auteuil,707,,,48.848025,10,10,30 septembre 1913,,,,,,,,,2.25875,https://fr.wikipedia.org/w/index.php?title=Porte_d%27Auteuil_(m%C3%A9tro_de_Paris)&action=raw,,Boulogne - Jean Jaurès (métro de Paris)|Boulogne - Jean Jaurès,Michel-Ange - Auteuil (métro de Paris)|Michel-Ange - Auteuil,,,,,,,,
Porte de Bagnolet,2304,,,48.864565,3,3,2 avril 1971,,,,,,,,,2.407278,https://fr.wikipedia.org/w/index.php?title=Porte_de_Bagnolet_(m%C3%A9tro_de_Paris)&action=raw,,Gambetta (métro de Paris)|Gambetta,Gallieni (métro de Paris)|Gallieni,,,,,,,,
Porte de Champerret,2912,,,48.885851,3,3,15 février 1911,,,,,,,,,2.293487,https://fr.wikipedia.org/w/index.php?title=Porte_de_Champerret_(m%C3%A9tro_de_Paris)&action=raw,,Louise Michel (métro de Paris)|Louise Michel,Pereire (métro de Paris)|Pereire,,,,,,,,
Porte de Charenton,1303,,,48.83278016,8,8,5 mai 1931,,,,,,,,,2.400400043,https://fr.wikipedia.org/w/index.php?title=Porte_de_Charenton_(m%C3%A9tro_de_Paris)&action=raw,,Porte Dorée (métro de Paris)|Porte Dorée,Liberté (métro de Paris)|Liberté,,,,,,,,
Porte de Choisy,14-02,,,48.82031533,"7, 10",7,26 avril 1931,10,7 mars 1930,,,,,,,2.365292609,https://fr.wikipedia.org/w/index.php?title=Porte_de_Choisy_(m%C3%A9tro_de_Paris)&action=raw,,Porte d'Italie (métro de Paris)|Porte d'Italie,Porte d'Ivry (métro de Paris)|Porte d'Ivry,,,,,,,,
Porte de Clichy,30-09,,,48.89434542,13,13,20 janvier 1912,,,,,,,,,2.313652039,https://fr.wikipedia.org/w/index.php?title=Porte_de_Clichy_(m%C3%A9tro_de_Paris)&action=raw,,Mairie de Clichy (métro de Paris)|Mairie de Clichy,Brochant (métro de Paris)|Brochant,,,,,,,,
Porte de Clignancourt,20-01,,,48.89728706,4,4,21 avril 1908,,,,,,,,,2.344778877,https://fr.wikipedia.org/w/index.php?title=Porte_de_Clignancourt_(m%C3%A9tro_de_Paris)&action=raw,,''Terminus''',Simplon (métro de Paris)|Simplon,,,,,,,,
Porte de la Chapelle,2006,,,48.89727437,12,12,23 août 1916,,,,,,,,,2.359190583,https://fr.wikipedia.org/w/index.php?title=Porte_de_la_Chapelle_(m%C3%A9tro_de_Paris)&action=raw,,Front Populaire (métro de Paris)|Front Populaire,Marx Dormoy (métro de Paris)|Marx Dormoy,,,,,,,,
Porte de la Villette,304,,,48.89708922,7,7,5 novembre 1910,,,,,,,,,2.385875881,https://fr.wikipedia.org/w/index.php?title=Porte_de_la_Villette_(m%C3%A9tro_de_Paris)&action=raw,,Aubervilliers - Pantin - Quatre Chemins (métro de Paris)|Aubervilliers - Pantin - Quatre Chemins,Corentin Cariou (métro de Paris)|Corentin Cariou,,,,,,,,
Porte de Montreuil,05-03,,,48.85379155,9,9,10 décembre 1933,,,,,,,,,2.412244678,https://fr.wikipedia.org/w/index.php?title=Porte_de_Montreuil_(m%C3%A9tro_de_Paris)&action=raw,,Maraîchers (métro de Paris)|Maraîchers,Robespierre (métro de Paris)|Robespierre,,,,,,,,
Porte de Pantin,2201,,,48.88847113,5,5,12 octobre 1942,,,,,,,,,2.391814291,https://fr.wikipedia.org/w/index.php?title=Porte_de_Pantin_(m%C3%A9tro_de_Paris)&action=raw,,Hoche (métro de Paris)|Hoche,Ourcq (métro de Paris)|Ourcq,,,,,,,,
Porte de Saint-Cloud,703,,,48.838082,9,9,29 septembre 1923,,,,,,,,,2.256956,https://fr.wikipedia.org/w/index.php?title=Porte_de_Saint-Cloud_(m%C3%A9tro_de_Paris)&action=raw,,Marcel Sembat (métro de Paris)|Marcel Sembat,Exelmans (métro de Paris)|Exelmans,,,,,,,,
Porte de Saint-Ouen,30-13,,,48.89677359,13,13,26 février 1911,,,,,,,,,2.32870996,https://fr.wikipedia.org/w/index.php?title=Porte_de_Saint-Ouen_(m%C3%A9tro_de_Paris)&action=raw,,Garibaldi (métro de Paris)|Garibaldi,Guy Môquet (métro de Paris)|Guy Môquet,,,,,,,,
Porte de Vanves,2702,,,48.82794045,13,13,21 janvier 1937,,,,,,,,,2.305884361,https://fr.wikipedia.org/w/index.php?title=Porte_de_Vanves_(m%C3%A9tro_de_Paris)&action=raw,,Plaisance (métro de Paris)|Plaisance,Malakoff - Plateau de Vanves (métro de Paris)|Malakoff - Plateau de Vanves,,,,,,,,
Porte de Versailles,1606,,,48.832328,12,12,5 novembre 1910,,,,,,,,,2.287841,https://fr.wikipedia.org/w/index.php?title=Porte_de_Versailles_(m%C3%A9tro_de_Paris)&action=raw,,Convention (métro de Paris)|Convention,Corentin Celton (métro de Paris)|Corentin Celton,,,,,,,,
Porte des Lilas,23-02,,,48.877183,"3bis, 11, 3",3 bis,27 mars 1971,11,28 avril 1935,3,27 novembre 1921,,,,,2.406655,https://fr.wikipedia.org/w/index.php?title=Porte_des_Lilas_(m%C3%A9tro_de_Paris)&action=raw,,''Terminus''',Saint-Fargeau (métro de Paris)|Saint-Fargeau,Télégraphe (métro de Paris)|Télégraphe,Mairie des Lilas (métro de Paris)|Mairie des Lilas,,,,,,
Porte d'Italie,14-03,,,48.819196,7,7,7 mars 1930,,,,,,,,,2.360805,https://fr.wikipedia.org/w/index.php?title=Porte_d%27Italie_(m%C3%A9tro_de_Paris)&action=raw,,Maison Blanche (métro de Paris)|Maison Blanche,Porte de Choisy (métro de Paris)|Porte de Choisy,,,,,,,,
Porte d'Ivry,26-03,,,48.82095992,7,7,26 avril 1931,,,,,,,,,2.370439768,https://fr.wikipedia.org/w/index.php?title=Porte_d%27Ivry_(m%C3%A9tro_de_Paris)&action=raw,,Porte de Choisy (métro de Paris)|Porte de Choisy,Pierre et Marie Curie (métro de Paris)|Pierre et Marie Curie,,,,,,,,
Porte Dorée,1301,,,48.83548144,8,8,5 mai 1931,,,,,,,,,2.406099737,https://fr.wikipedia.org/w/index.php?title=Porte_Dor%C3%A9e_(m%C3%A9tro_de_Paris)&action=raw,,Michel Bizot (métro de Paris)|Michel Bizot,Porte de Charenton (métro de Paris)|Porte de Charenton,,,,,,,,
Porte d'Orléans,1502,,,48.82319,4,4,30 octobre 1909,,,,,,,,,2.325363,https://fr.wikipedia.org/w/index.php?title=Porte_d%27Orl%C3%A9ans_(m%C3%A9tro_de_Paris)&action=raw,,Alésia (métro de Paris)|Alésia,Mairie de Montrouge (métro de Paris)|Mairie de Montrouge,,,,,,,,
Pyramides,1103,,,48.8669463,"7, 14",7,1 juillet 1916,14,15 octobre 1998,,,,,,,2.333665066,https://fr.wikipedia.org/w/index.php?title=Pyramides_(m%C3%A9tro_de_Paris)&action=raw,,Opéra (métro de Paris)|Opéra,Palais-Royal - Musée du Louvre (métro de Paris)|Palais-Royal - Musée du Louvre,Madeleine (métro de Paris)|Madeleine,Châtelet (métro de Paris)|Châtelet,,,,,,
Pyrénées,2414,,,48.87387501,11,11,28 avril 1935,,,,,,,,,2.385258973,https://fr.wikipedia.org/w/index.php?title=Pyr%C3%A9n%C3%A9es_(m%C3%A9tro_de_Paris)&action=raw,,Belleville (métro de Paris)|Belleville,Jourdain (métro de Paris)|Jourdain,,,,,,,,
Quai de la Gare,09-01,,,48.837069,6,6,1 mars 1909,,,,,,,,,2.372773,https://fr.wikipedia.org/w/index.php?title=Quai_de_la_Gare_(m%C3%A9tro_de_Paris)&action=raw,,Chevaleret (métro de Paris)|Chevaleret,Bercy (métro de Paris)|Bercy,,,,,,,,
Quai de la Rapée,09-10,,,48.84653927,5,5,13 juillet 1906,,,,,,,,,2.365826368,https://fr.wikipedia.org/w/index.php?title=Quai_de_la_Rap%C3%A9e_(m%C3%A9tro_de_Paris)&action=raw,Place Mazas,Bastille (métro de Paris)|Bastille,Gare d'Austerlitz (métro de Paris)|Gare d'Austerlitz,,,,,,,,
Quatre-Septembre,604,,,48.869574,3,3,3 novembre 1904,,,,,,,,,2.336633,https://fr.wikipedia.org/w/index.php?title=Quatre-Septembre_(m%C3%A9tro_de_Paris)&action=raw,,Opéra (métro de Paris)|Opéra,Bourse (métro de Paris)|Bourse,,,,,,,,
Rambuteau,08-01,,,48.861951,11,11,28 avril 1935,,,,,,,,,2.353905,https://fr.wikipedia.org/w/index.php?title=Rambuteau_(m%C3%A9tro_de_Paris)&action=raw,,Hôtel de Ville (métro de Paris)|Hôtel de Ville,Arts et Métiers (métro de Paris)|Arts et Métiers,,,,,,,,
Ranelagh,17-09,,,48.85501987,9,9,8 novembre 1922,,,,,,,,,2.269634306,https://fr.wikipedia.org/w/index.php?title=Ranelagh_(m%C3%A9tro_de_Paris)&action=raw,,Jasmin (métro de Paris)|Jasmin,La Muette (métro de Paris)|La Muette,,,,,,,,
