Nom,end_date,start_date,latitude,longitude,Nom de référence,Note
Notre-Dame-de-Lorette,,1910-11-05,48.876084,2.338586,Notre-Dame-de-Lorette,
Notre-Dame-des-Champs,,1910-11-05,48.84456761,2.328787744,Notre-Dame-des-Champs,
Oberkampf,,1907-01-15,48.864545,2.368877,Oberkampf,
Odéon,,1910-01-09,48.852066,2.338951,Odéon,
Olympiades,,2007-06-26,48.82702,2.366403,Olympiades,
Opéra,,1904-10-19,48.87063595,2.3323524,Opéra,
Ourcq,,1942-10-12,48.88685563,2.385747135,Ourcq,
Palais Royal,1989-03-29,1900-07-19,48.86284682,2.335816612,Palais-Royal - Musée du Louvre,
Palais-Royal - Musée du Louvre,,1989-03-29,48.86284682,2.335816612,Palais-Royal - Musée du Louvre,Renommé
Parmentier,,1904-10-19,48.865299,2.374381,Parmentier,
Passy,,1906-04-24,48.857445,2.285779,Passy,
Pasteur,,1906-04-24,48.84283594,2.312681079,Pasteur,
Pelleport,,1921-11-27,48.86867053,2.401751876,Pelleport,
Père Lachaise,,1903-02-25,48.862921,2.387388,Père Lachaise,
Pereire,,1910-05-23,48.884648,2.299211,Pereire,
Pernety,,1937-01-21,48.83421027,2.318512201,Pernety,
Philippe Auguste,,1903-01-31,48.858021,2.390938,Philippe Auguste,
Saint-Mandé,1937-03-01,1909-03-01,48.84515011,2.40049392,Picpus,
Picpus,,1937-03-01,48.84515011,2.40049392,Picpus,
Pierre Curie,2007-03-08,1946-05-01,48.81591773,2.377893627,Pierre et Marie Curie,
Pierre et Marie Curie,,2007-03-08,48.81591773,2.377893627,Pierre et Marie Curie,Renommé
Pigalle,,1902-10-07,48.882255,2.337573,Pigalle,
Place d'Italie,,1906-04-24,48.831483,2.355692,Place d'Italie,
Place de Clichy,,1902-10-26,48.883809,2.327625,Place de Clichy,
Place des Fêtes,,1912-02-13,48.87684044,2.392959595,Place des Fêtes,
Place Monge,,1930-02-15,48.84359,2.352279,Place Monge,
Plaisance,,1937-01-21,48.83155306,2.313740551,Plaisance,
Pointe du Lac,,2011-10-08,48.76878622,2.46481061,Pointe du Lac,
Poissonnière,,1910-11-05,48.87707506,2.348445654,Poissonnière,
Pont de Levallois - Bécon,,1937-09-24,48.897313,2.280787,Pont de Levallois - Bécon,
Pont de Neuilly,,1937-04-29,48.88450938,2.259891725,Pont de Neuilly,
Pont de Sèvres,,1934-02-03,48.82974679,2.231034636,Pont de Sèvres,
Pont Marie,,1926-04-16,48.8532868,2.357616127,Pont Marie,
Pont-Neuf,1990-12-01,1926-04-16,48.85867641,2.341488004,Pont-Neuf,
Pont-Neuf - La Monnaie,,1990-12-01,48.85867641,2.341488004,Pont-Neuf,
Porte d'Auteuil,,1913-09-30,48.848025,2.25875,Porte d'Auteuil,
Porte d'Italie,,1930-03-07,48.819196,2.360805,Porte d'Italie,
Porte d'Ivry,,1931-04-26,48.82095992,2.370439768,Porte d'Ivry,
Porte d'Orléans,,1909-10-30,48.82319,2.325363,Porte d'Orléans,
Porte Dauphine,,1900-12-13,48.871545,2.276768,Porte Dauphine,
Porte de Bagnolet,,1971-04-02,48.864565,2.407278,Porte de Bagnolet,
Porte de Champerret,,1911-02-11,48.885851,2.293487,Porte de Champerret,
Porte de Charenton,,1931-05-05,48.83278016,2.400400043,Porte de Charenton,
Porte de Choisy,,1930-03-07,48.82031533,2.365292609,Porte de Choisy,
Porte de Clichy,,1912-01-20,48.89434542,2.313652039,Porte de Clichy,
Porte de Clignancourt,,1908-04-21,48.89728706,2.344778877,Porte de Clignancourt,
Porte de la Chapelle,,1916-08-23,48.89727437,2.359190583,Porte de la Chapelle,
Porte de la Villette,,1910-11-05,48.89708922,2.385875881,Porte de la Villette,
Porte de Montreuil,,1933-12-10,48.85379155,2.412244678,Porte de Montreuil,
Porte de Pantin,,1942-10-12,48.88847113,2.391814291,Porte de Pantin,
Porte de Saint-Cloud,,1923-09-29,48.838082,2.256956,Porte de Saint-Cloud,
Porte de Saint-Ouen,,1911-02-26,48.89677359,2.32870996,Porte de Saint-Ouen,
Porte de Vanves,,1937-01-21,48.82794045,2.305884361,Porte de Vanves,
