OBJECTID,N_SQ_PE,L_EAU,C_DEP,C_NIVEAU,B_VISI,N_SQ_DE,SHAPE_Length,SHAPE_Area
469,0,,75,0,O,,2413.0412168508,4898.05648154897
470,0,,75,0,O,,76.6737118981309,297.16465293525
471,0,,75,0,N,,62.6165046154003,74.9996122411513
472,0,,75,0,O,,60.8576588348038,201.707289237447
473,0,,75,0,N,,72.9420949565624,67.5826044966279
474,930000017,Seine,93,0,N,3,92.1603060744764,425.231911240051
475,0,Seine,93,0,N,,121.341703450463,462.314703632095
476,930000017,Seine,93,0,N,3,223.967081982239,902.601975370391
477,0,,0,0, ,,166.071868535132,2056.94916196604
478,920000001,,92,0,O,2,12201.9969621636,259812.429105051
479,930000018,Seine,93,0,O,3,30795.3739211963,1055266.28191721
480,930000017,Seine,93,0,N,3,229.864859910731,1429.97216576873
481,950000003,Oise,95,0,O,8,96193.730578458,3493480.58758153
482,780000007,Oise,78,0,O,6,5652.86502799554,214948.340360568
483,930000017,Seine,93,0,N,3,113.706933793919,604.388057369091
484,920000021,Seine,92,0,O,2,100204.189167963,3587850.19558211
485,920000020,Seine,92,0,N,2,9742.34867621395,88388.1404424035
486,910000008,Rigole de Favreuse,91,0,O,7,15157.8731214902,145926.776557286
487,910000012,Yvette,91,0,O,7,27419.4834140859,114776.088175991
488,910000006,Orge,91,0,O,7,50558.8823982653,225121.46082656
489,910000007,Rigole Domaniale,91,0,O,7,32162.7738138414,258810.628823288
